CHAMAEC13;CHAMAECIPARIS V13;1;2;3;9900000003951;
CHAMAEC17;CHAMAECIPARIS V17;1;2;3;9900000003968;
CHAMAED;CHAMAEDOREA;1;2;3;9900000000851;
CHEI;CHEIRANTHUS;1;2;3;9900000000868;
CHEI14;CHEIRANTHUS (Erysimum cheiri) VASO 14;1;2;3;8053369651408;
CHIM;CHIMERA;1;2;3;9900000015121;
CHIN;CHINOTTO;1;2;3;9900000015114;
CHIN;CHINOTTO;1;2;3;8053369655086;
CHLO;CHLOROPHYTUM;1;2;3;9900000000875;
CHRY;CHRYSANTHEMUM;1;2;3;9900000001599;
CIAN;CIANOTUS;1;2;3;9900000008673;
CIAN18;CIANOTUS V18;1;2;3;9900000008680;
CICA;CICAS;1;2;3;9900000000882;
CICA18;CICAS V18;1;2;3;9900000010850;
CICA24;CICAS V24;1;2;3;9900000010843;
CICA40;CICAS V40;1;2;3;9900000010836;
CICL;CICLAMINO;1;2;3;9900000000042;
CICL40BA;CICLAMINO BALCONIERA L40;1;2;3;8053369654652;
CICLCI;CICLAMINO CIOTOLA;1;2;3;9900000004316;
CICL25CI;CICLAMINO CIOTOLA 25;1;2;3;8053369654461;
CICLCO;CICLAMINO COTTO;1;2;3;9900000017460;
CICLLAT;CICLAMINO LATINIA;1;2;3;9900000014902;
CICLMID;CICLAMINO MIDI;1;2;3;9900000004330;
CICL14MIEX;CICLAMINO MIDI V14 *Carnival*;1;2;3;8053369653761;
CICLMIN;CICLAMINO MINI;1;2;3;9900000004347;
CICL25MIBA;CICLAMINO MINI BALCONIERA L25;1;2;3;8053369653853;
CICL35MIBA;CICLAMINO MINI BALCONIERA L35;1;2;3;8053369653846;
CICL12VI;CICLAMINO MINI V12 VICTORIA;1;2;3;9900000016425;
CICL10PL;CICLAMINO MINI VASO 10;1;2;3;8053369653778;
CICL12MI;CICLAMINO MINI VASO 12 *Carnival*;1;2;3;8053369653945;
CICL14;CICLAMINO STANDARD VASO 14;1;2;3;8053369653501;
CICL14EX;CICLAMINO STANDARD VASO 14 Colorpot;1;2;3;8053369653969;
CICL14CO;CICLAMINO STANDARD VASO 14 TERRACOTTA;1;2;3;8053369653495;
CICL16TC40;CICLAMINO STANDARD VASO 16 D.40;1;2;3;8053369653952;
CICL10MIN;CICLAMINO V10 MINI;1;2;3;8053369653426;
CICL11;CICLAMINO V11;1;2;3;9900000004163;
CICL11MIN;CICLAMINO V11 MINI;1;2;3;9900000012793;
CICL13;CICLAMINO V13;1;2;3;9900000004170;
CICL13CO;CICLAMINO V13 COTTO;1;2;3;9900000016401;
CICL13MID;CICLAMINO V13 MIDI;1;2;3;9900000004187;
CICL14MID;CICLAMINO V14 MIDI;1;2;3;8053369653303;
CICL14MIN;CICLAMINO V14 MINI;1;2;3;8053369653525;
CICL15;CICLAMINO V15;1;2;3;9900000004224;
CICL15CO;CICLAMINO V15 COTTO;1;2;3;9900000004231;
